Open,Consci,Extra,Agree,Neuro,Ethics,Crisis,Creat,Team,Account,Fnl,Res,Teach,Extn,Commu,Leader,Attit,Know,Competency,Ability
3.88,4.5,1.5,3.67,2.38,3.83,1.25,1,3.67,4,2,1,3.29,1,1.75,2.75,2.27,0.23,21.78,15.5
2.63,3.17,3.5,4.33,3.5,2.92,4,4.5,3.78,3.4,3,3.8,2.36,1,3.38,3,2.73,0.13,25.78,21.25
2.25,3,4,3.67,3.88,3.5,3,3.25,3.89,3,3.25,3.27,3.07,1,3.25,3,2.73,0,25.33,18.75
1.63,2.5,2.25,4.83,2.75,4,1.5,2.75,4.11,4.4,2.5,1.6,4.29,2.63,2.63,3.5,2.73,0.77,26.11,19
2.63,3.83,4,4.5,3.38,3.5,2.5,2,2.67,3.4,2.5,3.13,2.57,3.88,3.25,2.25,3.35,0.57,27.06,14.75
4.38,3,4,4.33,3.88,3.25,4,2,3.78,2.6,4.5,1.33,3.36,2.63,3.75,2.5,3.31,0.47,27.33,17.75
3.5,3,4,4.17,3,4.08,4,4,4.11,3.6,3.75,4,3.43,4.5,3.25,3.5,2.85,0.43,30.39,21.75
2.38,3.33,4,3.67,2.25,4,3.5,3.25,3,3.8,4,4.2,3,3.38,3.63,3.25,2.54,0.8,28.28,18.25
3.38,3.33,4.5,4.33,2.38,3.58,4,4,2.78,2.2,3.75,3.47,2.07,1,4.13,3.13,2.27,0.5,25.39,17
4,1.67,3.25,3.67,2.5,3.17,1.5,3,1.78,2,2,3.53,2.5,1,3.25,1.38,3.19,0.57,23.33,11
1.88,3.17,4.5,4.17,2.75,3.08,3.5,3,2.44,3.6,4,4.53,2.93,3.88,3,3.63,2.92,0,27.06,16.5
3.75,3.83,4,4,3.5,2.58,1.5,2.75,3.33,2.6,2.75,3.2,3.14,2.75,2.88,2.38,2.5,0.43,25.39,15
3,2.33,2.5,3.17,3,2.33,2.5,2.25,2.33,1.6,3.5,1.93,2.5,3,3.5,2.88,2.58,0.13,21.72,12
1.63,2.33,2.75,3.33,2.25,2.92,1,1.25,1.67,2.8,2,1.13,2.07,4.13,1.75,2.88,2.38,0.07,18.72,9.5
1.63,3.83,4,4.33,3.75,4.17,3.25,3.25,3.44,4.4,2.75,3.07,3.71,3.25,2.63,3.5,2.27,0,26.67,19.75
3.75,2.33,4.5,3.83,3,2.33,3.25,4.25,2.11,2.2,3.5,3.8,2.57,2.38,2.5,1.38,3.15,1,25.89,15
4,2.83,1.75,3.83,1.5,2.67,1.25,1.25,3.11,4,2.25,1.53,3.29,1,1.63,2.38,2.23,0.53,20.72,14.5
2.38,4.33,2.75,4.67,2.63,3.42,1,1.75,2.78,4.4,2.5,1.73,4.64,4.63,2.75,4,2.69,0.37,26.50,14.5
2.88,3.5,2.75,2.33,3.5,2.42,2.25,1.75,3,2.8,2,2.73,1.71,2.88,2.25,2.88,3.27,0.43,23.22,14.25
2.63,3.5,2.5,4.5,3.38,3,2.25,2.5,3.33,3.8,2.75,3.2,2.5,2.13,2.75,3.5,2.58,0.43,25.06,17
2,2,2.25,3.5,2.63,3.58,3.75,2.5,3,2,3.25,2.8,3.21,2.25,2.5,2.38,2.23,0.5,23.00,15.5
1.88,2.83,3.75,3.67,3.38,3.33,3,2.5,2.22,2.6,3.75,3.27,3.07,1.63,3.25,3.13,2.62,0.37,24.50,13.75
1.75,2,4,3,3,2.08,2.5,3,1.67,1.8,3,2.2,1.79,2.63,2.63,3.63,2.62,0.5,21.06,11.5
4.75,2.83,2.75,2.67,2.38,2,3.75,3,1.78,2,3.25,3.53,2.29,3.25,2.88,2.63,3.5,0.53,25.17,13.25
2.13,1.83,4,2.5,2.13,2.25,2.75,3.25,1.44,1.8,3.25,3,1.79,2,2.13,2.25,2.35,0.3,19.61,11.5
3.88,4.67,2.75,4.67,3.5,4.58,2.25,1.75,4,4.4,2.75,2.2,3.71,2.75,1.75,3.88,2.23,0.53,27.33,18.5
3.13,3.67,4.25,4,3.25,2.67,3.5,4.5,2.33,4,3,3.4,2.07,1.38,2.5,3,2.92,0.6,25.56,18.25
1.63,2,2.75,2.67,3,2.58,3.25,3.25,1,1.2,2.25,1.53,1.5,3.38,3,1.88,2.35,0.6,19.22,10.25
3.25,2.67,2.5,3.33,2.25,1.67,1.75,1.75,1.78,2.6,3.25,1.4,2.07,3.88,2.88,3,2.31,0.4,20.33,10.75
2.88,3.33,3,3.67,2.63,2.83,3.5,2,3.22,2.4,2.75,1.8,2.86,3.88,2.63,1.63,2.42,0.47,23.06,15.75
3.13,3.5,3.75,3.83,3.25,3.75,1.75,2.25,4.11,4,3,2.73,3,1,2.63,4.5,2.5,0.37,25.78,18.25
2.5,3.67,2.75,3.67,2.63,3.33,2.5,2.25,1.89,4,2.5,2.13,1.86,1.75,2.38,2.25,2.12,0.43,21.06,14
3.5,3,2.75,3.67,3,2,2,2,2,2,2,1,2,2,1.38,2,1.96,0.03,17.61,11
4.63,3,2.5,4.33,2,3,3,4,3,3,3,2,3,3,2,3,2.12,0.43,23.83,17.5
3.38,3.5,2,3.67,4,4,1,3,4,4,4,3,4,4,3,4,1.58,0.5,27.28,18
3.75,2.67,1.75,4.83,3,3.83,4,2.5,2.78,3,2.5,4,3.07,3,4,3,1.42,0.5,25.72,16.5
1.88,4.5,1.5,4.5,3,2.92,2.5,3.5,3.22,3,2.5,3.07,2.93,3,4.5,3,1,0.53,23.61,17
2,3.17,3.5,5,2.38,3.5,3.5,1,3.67,4,3.5,2.93,3.14,1,3,1.38,4,0.43,26.28,17.75
3,3,4,4.17,3.5,4,3.5,4.5,3.78,3.4,2.75,3.07,1.71,1,3,2.25,3,0,25.06,20.75
3,2.5,2.25,3.67,3.88,3.5,2.5,3.25,3.89,3,2,3,1.43,1,4.63,4.63,2,1,25.17,18.25
4,3.83,4,4.33,2.75,3.25,1.25,2.75,4.11,4,3,1,3.29,2.63,1.75,2.75,2.27,0.23,23.72,18.25
5,3,4,3.67,3.38,4.08,4,2,2.67,3.4,3.25,3.8,2.36,4.63,3.38,3,2.73,0.13,27.94,16.25
1.75,3,4,4.17,3.88,4,3,2,3.78,2.6,2.5,3.27,3.07,2.63,3.25,3,2.73,0,25.72,16.75
3.88,3.33,4,4,3,3.58,2.5,5,4,3.6,2.5,1.6,4.29,4.5,2.63,3.5,2.73,0.77,28.61,21
2.63,3.33,4.5,3.17,2.25,3.17,2.5,3.25,3,3,4.5,3.13,3.07,3.38,3.25,2.25,3.35,0.57,26.78,16.25
2.25,1.67,3.25,3.33,2.38,3.08,4,4,2.78,2.2,2,1,3.36,1,3.75,2.5,3.31,0.47,22.94,17
1.63,3.17,4.5,4.33,2.5,2.58,4,3,1.78,2,4,4,3.43,1,3.25,3.5,2.85,0.43,25.22,13.5
2.63,3.83,3,4,2.75,2.33,3.5,3,2.44,3.6,3.75,4.2,3,3.88,3.63,3.25,2.54,0.8,27.33,16.5
4.38,2.33,2.5,3.83,3.5,2.92,5,2.75,3.33,2.6,2,3.47,2.07,2.75,1,2,4,0.5,26.28,18.5
3.5,2.33,2.5,4.67,3,4.17,1.5,2.25,2.33,1.6,4,3.53,2.5,3,3.25,1.38,3.19,0.57,25.72,11
2,2,4,2,2.25,2,3.5,1.25,1.67,3,2.75,4.53,2.93,4.13,3,3.63,2.92,0,23.83,12.25
3.38,2.33,3.5,4.5,3.75,2.67,1.5,3.25,3.44,4.4,3.5,3,3.14,3.25,2.88,2.38,2,0.43,25.11,18
4,2.83,1.75,3.5,3,3.17,2.5,4.25,2.11,2.2,2,1.93,2,2.38,3.5,2.88,2.58,0.5,22.94,14.25
1.88,3.17,2,3.67,1.5,2.42,1,1,3.11,4,3,1.13,2.07,1,1.75,2.88,1,0.07,16.22,14
3.75,3.5,2.75,3,2,3,3.25,1.75,3,4.4,3.5,3.07,3.71,4.63,2.63,3,2.27,0,25.22,17.25
3,3,2.5,2.67,3.5,3.58,3.25,1.75,1,2.8,2.25,3.8,2.57,2.88,3,2.63,3.15,1,25.78,10.75
1,2,2.25,2.5,3,3.33,1.25,2.5,3.33,3.8,2.5,1.53,3.29,2.13,1.63,2.38,2.23,0.53,20.78,16
1.63,2.83,3.75,4.67,2.63,3,1,2.5,3,2,2,1.73,4.64,4,2.75,4,2.69,0.37,24.83,12.75
3.75,2,4,4,3.38,2.83,2.25,2.5,2.22,2,2.75,2,1.71,1.63,2.25,2.88,3.27,0.43,22.72,12.25
4,2.83,2.75,3,3,2.25,2.25,3,1.67,1.8,3.25,3.2,3,2.63,2.75,3.5,2.58,0.43,23.78,11.25
2.38,1.83,4,3.33,2.38,4.58,2,2,1.78,3,4,2.8,3.21,2,4,2.38,2.23,0.5,23.89,11.75
2.88,2.83,2.75,3.67,2.13,2.67,3,3.25,2,1.8,3,3.27,3.07,2,3.25,3.13,2.62,0.37,23.56,13
3,3.67,4.25,3.83,4,2.58,2.5,1.75,4,4.4,3.25,2.2,1.79,2.75,2.63,4,2.62,0.5,25.17,18.75
2,2,2.75,3.67,3.25,1.67,3.5,4.5,2.33,4,3.25,3.53,2.29,1.38,2.88,2.63,3.5,0.53,24.44,18.25
1.88,2.67,2.5,3,3,2,2.75,3.25,1,1.2,2.75,4,1.79,3.38,2.13,2.25,2.35,0.3,20.78,9.75
1.75,3.33,3,1.5,2.5,3.75,2.25,1.75,1.78,2.6,3,2.2,4,3.88,1.75,3.88,3,0.53,24.22,11.25
4.75,3.5,3.75,2.5,2.63,3.33,3.5,2,3.22,2.4,2.25,3.4,2.07,3.88,2.5,3,2.92,0.9,26.67,15.75
2.13,3.67,1,1.83,3.25,2,3.25,3,2.78,2,3.5,1.53,1.5,1.38,2,1.88,2.35,0.6,19.06,15
3.88,3,2.75,3.17,2.63,3,1.75,2.25,2.78,3,2.75,1.4,2.07,2.25,2.88,3,2.31,0.4,21.67,14
4,3,2.5,2,3,4,3,2,2.78,3,2.5,1.8,2.86,1.38,2.63,1.63,2.42,0.47,22.39,15
